Date,Open,High,Low,Close,Volume,Adj Close
2015-05-20,79.800003,81.989998,79.400002,81.150002,1213500,81.150002
2015-05-19,80.75,81.889999,79.400002,80.099998,1644100,80.099998
2015-05-18,75.760002,80.389999,75.50,80.300003,2668800,80.300003
2015-05-15,76.699997,77.139999,75.830002,76.540001,1710700,76.540001
2015-05-14,75.169998,77.214996,75.040001,76.980003,1556400,76.980003
2015-05-13,75.349998,76.099998,74.330002,74.959999,804100,74.959999
2015-05-12,74.129997,75.849998,74.00,74.75,1381600,74.75
2015-05-11,75.989998,76.00,73.839996,74.559998,1697700,74.559998
2015-05-08,76.379997,77.970001,76.209999,76.559998,1991600,76.559998
2015-05-07,77.629997,78.00,73.209999,75.559998,4721300,75.559998
2015-05-06,67.699997,69.400002,66.50,69.059998,2131900,69.059998
2015-05-05,68.510002,69.222,66.019997,67.07,1532600,67.07
2015-05-04,69.849998,70.50,68.660004,68.989998,1621600,68.989998
2015-05-01,66.800003,69.610001,66.68,69.599998,1708100,69.599998
2015-04-30,68.470001,68.849998,65.800003,65.910004,1632000,65.910004
2015-04-29,67.589996,69.00,66.510002,68.650002,994200,68.650002
2015-04-28,69.970001,70.307999,65.442001,67.860001,2043700,67.860001
2015-04-27,69.93,71.690002,68.900002,69.370003,1512900,69.370003
2015-04-24,73.080002,73.099998,69.699997,70.120003,1633000,70.120003
2015-04-23,73.93,73.949997,71.550003,73.269997,1121000,73.269997
2015-04-22,74.25,74.540001,73.059998,74.480003,817900,74.480003
2015-04-21,72.50,74.260002,72.010002,74.07,1159700,74.07
2015-04-20,70.400002,72.349998,70.400002,72.010002,1216900,72.010002
2015-04-17,70.699997,71.110001,69.610001,70.07,1177600,70.07
2015-04-16,70.800003,71.50,68.610001,71.459999,1495500,71.459999
2015-04-15,71.00,72.00,69.370003,70.910004,1714600,70.910004
2015-04-14,72.379997,73.169998,69.300003,70.50,2457100,70.50
2015-04-13,73.790001,75.120003,72.110001,72.629997,1242800,72.629997
2015-04-10,75.610001,75.93,72.760002,73.580002,1315300,73.580002
2015-04-09,72.709999,74.900002,71.220001,74.629997,1385100,74.629997
2015-04-08,73.800003,75.199997,72.510002,72.839996,2108000,72.839996
2015-04-07,77.080002,77.690002,72.730003,73.230003,2251100,73.230003
2015-04-06,76.879997,77.150002,75.199997,76.510002,1613600,76.510002
2015-04-02,79.199997,79.199997,76.669998,77.790001,1603800,77.790001
2015-04-01,78.529999,79.300003,77.809998,78.800003,1430200,78.800003
2015-03-31,80.93,81.00,78.550003,79.699997,2006900,79.699997
2015-03-30,80.220001,81.400002,79.709999,81.400002,1820400,81.400002
2015-03-27,77.629997,80.690002,77.510002,79.279999,2634900,79.279999
2015-03-26,73.50,77.75,72.099998,77.190002,3005900,77.190002
2015-03-25,83.550003,83.790001,75.519997,77.129997,3728800,77.129997
2015-03-24,84.599998,85.627998,82.660004,83.209999,1792300,83.209999
2015-03-23,81.150002,84.190002,81.07,84.089996,2000600,84.089996
2015-03-20,81.440002,81.50,79.695,80.800003,4741000,80.800003
2015-03-19,81.519997,82.269997,79.209999,80.379997,1886000,80.379997
2015-03-18,77.860001,80.800003,77.690002,79.959999,2272900,79.959999
2015-03-17,76.160004,78.120003,75.900002,77.709999,1824300,77.709999
2015-03-16,74.209999,76.75,74.00,76.330002,1822400,76.330002
2015-03-13,73.349998,73.989998,71.800003,72.57,761900,72.57
2015-03-12,73.339996,74.349998,72.919998,73.419998,794800,73.419998
2015-03-11,72.669998,73.599998,72.050003,72.949997,1039500,72.949997
2015-03-10,74.129997,74.309998,71.739998,72.150002,1365500,72.150002
2015-03-09,73.239998,75.449997,73.129997,74.830002,1076500,74.830002
2015-03-06,73.410004,74.50,72.75,72.980003,988100,72.980003
2015-03-05,72.199997,75.160004,72.019997,74.510002,1621900,74.510002
2015-03-04,70.230003,73.25,70.110001,72.019997,1396500,72.019997
2015-03-03,69.360001,70.959999,68.349998,70.839996,1508900,70.839996
2015-03-02,69.389999,70.800003,68.800003,69.349998,1127900,69.349998
2015-02-27,70.75,71.428001,69.199997,69.400002,1400900,69.400002
2015-02-26,68.00,71.720001,67.889999,71.529999,2116400,71.529999
2015-02-25,68.949997,69.279999,66.599998,67.209999,965200,67.209999
2015-02-24,65.360001,69.349998,65.199997,69.339996,1700200,69.339996
2015-02-23,65.160004,65.879997,64.300003,65.050003,889600,65.050003
2015-02-20,65.57,65.769997,64.040001,65.169998,1462900,65.169998
2015-02-19,67.00,68.169998,65.25,65.300003,1225400,65.300003
2015-02-18,69.150002,70.00,67.309998,67.540001,1056700,67.540001
2015-02-17,70.00,70.00,68.059998,69.440002,974000,69.440002
2015-02-13,66.349998,70.269997,65.629997,70.029999,1870200,70.029999
2015-02-12,65.629997,66.330002,65.00,66.199997,1159000,66.199997
2015-02-11,64.93,65.650002,63.169998,64.75,1096600,64.75
2015-02-10,63.869999,65.120003,63.669998,65.019997,1306600,65.019997
2015-02-09,65.199997,65.823997,63.349998,63.740002,1562800,63.740002
2015-02-06,67.50,68.50,65.529999,65.889999,1302100,65.889999
2015-02-05,67.660004,68.730003,66.50,67.389999,1322900,67.389999
2015-02-04,67.529999,69.400002,66.760002,68.330002,1499600,68.330002
2015-02-03,68.739998,70.00,67.050003,68.519997,2551800,68.519997
2015-02-02,73.080002,74.00,66.879997,68.720001,3348300,68.720001
2015-01-30,74.639999,75.260002,73.309998,73.870003,1623400,73.870003
2015-01-29,72.699997,75.879997,72.199997,75.760002,2636700,75.760002
2015-01-28,75.00,78.050003,74.220001,75.50,3063000,75.50
2015-01-27,73.00,73.879997,71.50,73.75,1246700,73.75
2015-01-26,72.400002,74.00,72.300003,73.150002,1571800,73.150002
2015-01-23,70.720001,74.339996,70.57,73.370003,1677100,73.370003
2015-01-22,69.540001,70.68,67.029999,70.610001,1332400,70.610001
2015-01-21,67.610001,70.800003,67.57,68.839996,1451600,68.839996
2015-01-20,65.75,68.199997,65.230003,67.959999,1094600,67.959999
2015-01-16,64.019997,66.419998,63.810001,65.809998,1392900,65.809998
2015-01-15,64.230003,64.940002,63.599998,64.389999,1246800,64.389999
2015-01-14,64.650002,65.449997,63.110001,64.589996,979600,64.589996
2015-01-13,65.739998,67.589996,63.610001,65.019997,1228400,65.019997
2015-01-12,67.389999,67.989998,64.800003,65.519997,1257500,65.519997
2015-01-09,68.449997,68.449997,66.610001,67.110001,933900,67.110001
2015-01-08,67.949997,69.690002,67.129997,67.690002,2510300,67.690002
2015-01-07,65.010002,66.760002,63.509998,66.650002,2122600,66.650002
2015-01-06,67.93,67.989998,63.02,64.669998,3749400,64.669998
2015-01-05,71.230003,71.300003,67.059998,67.629997,4534700,67.629997
2015-01-02,69.00,71.999001,68.010002,70.400002,4218700,70.400002
